,tr,label
0,<http://example/Treatment/treatment0>,0
4,<http://example/Treatment/treatment2>,0
6,<http://example/Treatment/treatment3>,0
8,<http://example/Treatment/treatment4>,0
10,<http://example/Treatment/treatment5>,0
12,<http://example/Treatment/treatment6>,0
14,<http://example/Treatment/treatment7>,0
16,<http://example/Treatment/treatment8>,0
18,<http://example/Treatment/treatment9>,0
22,<http://example/Treatment/treatment11>,0
24,<http://example/Treatment/treatment12>,0
26,<http://example/Treatment/treatment13>,0
28,<http://example/Treatment/treatment14>,0
32,<http://example/Treatment/treatment16>,0
34,<http://example/Treatment/treatment17>,0
36,<http://example/Treatment/treatment18>,0
38,<http://example/Treatment/treatment19>,0
40,<http://example/Treatment/treatment20>,0
42,<http://example/Treatment/treatment21>,0
44,<http://example/Treatment/treatment22>,0
48,<http://example/Treatment/treatment24>,0
50,<http://example/Treatment/treatment25>,0
54,<http://example/Treatment/treatment27>,0
56,<http://example/Treatment/treatment28>,0
58,<http://example/Treatment/treatment29>,0
60,<http://example/Treatment/treatment30>,0
64,<http://example/Treatment/treatment32>,0
66,<http://example/Treatment/treatment33>,0
68,<http://example/Treatment/treatment34>,0
70,<http://example/Treatment/treatment35>,0
72,<http://example/Treatment/treatment36>,0
74,<http://example/Treatment/treatment37>,0
76,<http://example/Treatment/treatment38>,0
78,<http://example/Treatment/treatment39>,0
80,<http://example/Treatment/treatment40>,0
82,<http://example/Treatment/treatment41>,0
84,<http://example/Treatment/treatment42>,0
86,<http://example/Treatment/treatment43>,0
88,<http://example/Treatment/treatment44>,0
90,<http://example/Treatment/treatment45>,0
92,<http://example/Treatment/treatment46>,0
94,<http://example/Treatment/treatment47>,0
100,<http://example/Treatment/treatment50>,0
104,<http://example/Treatment/treatment52>,0
106,<http://example/Treatment/treatment53>,0
108,<http://example/Treatment/treatment54>,0
110,<http://example/Treatment/treatment55>,0
112,<http://example/Treatment/treatment56>,0
114,<http://example/Treatment/treatment57>,0
116,<http://example/Treatment/treatment58>,0
120,<http://example/Treatment/treatment60>,0
122,<http://example/Treatment/treatment61>,0
124,<http://example/Treatment/treatment62>,0
126,<http://example/Treatment/treatment63>,0
128,<http://example/Treatment/treatment64>,0
130,<http://example/Treatment/treatment65>,0
132,<http://example/Treatment/treatment66>,0
134,<http://example/Treatment/treatment67>,0
136,<http://example/Treatment/treatment68>,0
138,<http://example/Treatment/treatment69>,0
142,<http://example/Treatment/treatment71>,0
144,<http://example/Treatment/treatment72>,0
146,<http://example/Treatment/treatment73>,0
148,<http://example/Treatment/treatment74>,0
150,<http://example/Treatment/treatment75>,0
154,<http://example/Treatment/treatment77>,0
156,<http://example/Treatment/treatment78>,0
158,<http://example/Treatment/treatment79>,0
160,<http://example/Treatment/treatment80>,0
162,<http://example/Treatment/treatment81>,0
164,<http://example/Treatment/treatment82>,0
166,<http://example/Treatment/treatment83>,0
168,<http://example/Treatment/treatment84>,0
170,<http://example/Treatment/treatment85>,0
178,<http://example/Treatment/treatment89>,0
180,<http://example/Treatment/treatment90>,0
182,<http://example/Treatment/treatment91>,0
184,<http://example/Treatment/treatment92>,0
186,<http://example/Treatment/treatment93>,0
188,<http://example/Treatment/treatment94>,0
190,<http://example/Treatment/treatment95>,0
192,<http://example/Treatment/treatment96>,0
194,<http://example/Treatment/treatment97>,0
196,<http://example/Treatment/treatment98>,0
200,<http://example/Treatment/treatment100>,0
204,<http://example/Treatment/treatment102>,0
208,<http://example/Treatment/treatment104>,0
210,<http://example/Treatment/treatment105>,0
212,<http://example/Treatment/treatment106>,0
216,<http://example/Treatment/treatment108>,0
220,<http://example/Treatment/treatment110>,0
222,<http://example/Treatment/treatment111>,0
224,<http://example/Treatment/treatment112>,0
228,<http://example/Treatment/treatment114>,0
232,<http://example/Treatment/treatment116>,0
234,<http://example/Treatment/treatment117>,0
236,<http://example/Treatment/treatment118>,0
240,<http://example/Treatment/treatment120>,0
242,<http://example/Treatment/treatment121>,0
244,<http://example/Treatment/treatment122>,0
250,<http://example/Treatment/treatment125>,0
252,<http://example/Treatment/treatment126>,0
258,<http://example/Treatment/treatment129>,0
260,<http://example/Treatment/treatment130>,0
262,<http://example/Treatment/treatment131>,0
264,<http://example/Treatment/treatment132>,0
266,<http://example/Treatment/treatment133>,0
268,<http://example/Treatment/treatment134>,0
270,<http://example/Treatment/treatment135>,0
272,<http://example/Treatment/treatment136>,0
274,<http://example/Treatment/treatment137>,0
280,<http://example/Treatment/treatment140>,0
284,<http://example/Treatment/treatment142>,0
286,<http://example/Treatment/treatment143>,0
288,<http://example/Treatment/treatment144>,0
290,<http://example/Treatment/treatment145>,0
292,<http://example/Treatment/treatment146>,0
294,<http://example/Treatment/treatment147>,0
296,<http://example/Treatment/treatment148>,0
298,<http://example/Treatment/treatment149>,0
300,<http://example/Treatment/treatment150>,0
306,<http://example/Treatment/treatment153>,0
308,<http://example/Treatment/treatment154>,0
310,<http://example/Treatment/treatment155>,0
316,<http://example/Treatment/treatment158>,0
318,<http://example/Treatment/treatment159>,0
322,<http://example/Treatment/treatment161>,0
324,<http://example/Treatment/treatment162>,0
326,<http://example/Treatment/treatment163>,0
328,<http://example/Treatment/treatment164>,0
330,<http://example/Treatment/treatment165>,0
332,<http://example/Treatment/treatment166>,0
334,<http://example/Treatment/treatment167>,0
336,<http://example/Treatment/treatment168>,0
338,<http://example/Treatment/treatment169>,0
340,<http://example/Treatment/treatment170>,0
344,<http://example/Treatment/treatment172>,0
346,<http://example/Treatment/treatment173>,0
352,<http://example/Treatment/treatment176>,0
354,<http://example/Treatment/treatment177>,0
356,<http://example/Treatment/treatment178>,0
358,<http://example/Treatment/treatment179>,0
360,<http://example/Treatment/treatment180>,0
362,<http://example/Treatment/treatment181>,0
364,<http://example/Treatment/treatment182>,0
366,<http://example/Treatment/treatment183>,0
370,<http://example/Treatment/treatment185>,0
372,<http://example/Treatment/treatment186>,0
378,<http://example/Treatment/treatment189>,0
380,<http://example/Treatment/treatment190>,0
382,<http://example/Treatment/treatment191>,0
386,<http://example/Treatment/treatment193>,0
388,<http://example/Treatment/treatment194>,0
390,<http://example/Treatment/treatment195>,0
392,<http://example/Treatment/treatment196>,0
398,<http://example/Treatment/treatment199>,0
400,<http://example/Treatment/treatment200>,0
402,<http://example/Treatment/treatment201>,0
404,<http://example/Treatment/treatment202>,0
406,<http://example/Treatment/treatment203>,0
408,<http://example/Treatment/treatment204>,0
412,<http://example/Treatment/treatment206>,0
418,<http://example/Treatment/treatment209>,0
420,<http://example/Treatment/treatment210>,0
422,<http://example/Treatment/treatment211>,0
424,<http://example/Treatment/treatment212>,0
426,<http://example/Treatment/treatment213>,0
428,<http://example/Treatment/treatment214>,0
432,<http://example/Treatment/treatment216>,0
434,<http://example/Treatment/treatment217>,0
438,<http://example/Treatment/treatment219>,0
440,<http://example/Treatment/treatment220>,0
442,<http://example/Treatment/treatment221>,0
444,<http://example/Treatment/treatment222>,0
446,<http://example/Treatment/treatment223>,0
448,<http://example/Treatment/treatment224>,0
450,<http://example/Treatment/treatment225>,0
452,<http://example/Treatment/treatment226>,0
454,<http://example/Treatment/treatment227>,0
456,<http://example/Treatment/treatment228>,0
458,<http://example/Treatment/treatment229>,0
460,<http://example/Treatment/treatment230>,0
462,<http://example/Treatment/treatment231>,0
464,<http://example/Treatment/treatment232>,0
468,<http://example/Treatment/treatment234>,0
