0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class,triple
0.81308454,0.09735785,0.025457526,0.092109695,0.11518436,3.8350537,2.2021568,-1.2817304,-10.883538,2.972804,2.0231404,0.44917914,-0.12411578,0.8154541,0.08025879,4.835428,pos,0
0.13213144,-0.54562664,-0.102452815,0.13155285,0.072697334,1.6220281,-2.0615706,-1.017663,-10.9768095,-2.8447702,0.9382388,-0.79347783,0.30989477,0.049864292,0.03485474,3.2994149,neg,0
1.4092193,0.07932634,-0.13821664,0.095125206,-0.14873892,1.7187266,1.1545491,-1.70051,-7.1261444,0.0046969815,2.7327235,1.6721394,0.32029828,0.40599546,0.88290507,1.7232794,pos,1
-0.21472661,-2.4198456,0.123349495,0.08843075,0.33164102,0.39746436,2.7606204,-1.2928448,-10.53272,-0.19683619,3.0897176,1.9038303,-0.20206322,0.774408,-1.3086376,-0.39245015,neg,1
2.6774983,3.0085375,0.006371748,0.044788267,4.538556,-0.013925776,-0.40555608,-0.45323256,-10.179391,1.479047,-0.14332101,0.46243033,-0.66366553,0.34370634,-0.12197398,3.7663577,pos,2
-1.3992299,0.34272373,-0.023803154,0.70013285,-2.4898648,-0.021568004,-0.7576757,-2.068646,-6.4518633,0.6401992,0.117010355,0.5622118,-1.5125612,0.32042813,0.5102073,2.0486357,neg,2
0.00023680982,2.7922356,0.40585354,2.7055748,-0.23460953,2.0123675,1.3395345,0.10515333,-8.637137,1.309223,-0.25200635,-1.4202132,6.464866,0.076623626,-0.0090561835,0.6433056,pos,3
5.3255873e-05,-2.2730145,-0.6812801,-3.2147582,0.49888945,0.57989264,0.6226176,0.26211822,-9.577009,-4.2716107,-0.6409269,0.57281893,-10.246694,0.13825274,0.61213756,0.5188598,neg,3
0.035443857,-0.027528496,1.1812918,1.7602873,0.40707994,3.2724736,0.8235582,2.9788463,-6.696517,-0.2577894,0.2777603,0.14730118,-1.0493424,0.012506215,0.28017804,0.23971407,pos,4
0.0386805,0.012434286,-1.6623093,0.96591437,-0.17473865,1.5552069,-0.10495999,-2.7452333,-6.3708935,0.20593931,0.70944965,0.13504699,0.22251593,0.015353621,0.64195025,-0.0066871815,neg,4
0.033676952,0.7533757,-1.1420671,3.853875,-0.06323773,0.9962643,0.33178335,3.5728345,-3.6388144,0.10636774,3.5875924,1.7956392,-2.9903731,0.04519143,0.013793246,0.041518778,pos,5
-0.05329752,-0.39014822,1.1003493,2.77128,0.084612735,0.14389744,0.9090965,0.9028058,-4.178163,0.29194048,0.64421636,-2.3460953,-2.9515543,0.0637633,0.03670013,-0.12727582,neg,5
-0.49347448,-0.4066418,0.108955204,0.8210018,4.452673,-0.027476914,-0.32319117,-0.1466573,-7.857333,-0.11594893,-0.504498,5.1692533,0.95045877,-0.37079117,3.8893754,-0.31464258,pos,6
0.50484484,0.5663622,0.21028717,0.35630858,4.9124045,-0.13900492,1.721016,0.47359535,-7.115677,-1.7315766,3.3266275,-2.0943048,-4.1747785,0.31736773,2.196569,-2.8279297,neg,6
-1.7294997,0.88859415,-0.005615607,0.008465495,0.33190712,-0.4751082,1.4219378,2.5057385,-8.48383,2.0428715,1.7144104,1.140332,0.0054444694,-0.38118395,0.79912776,2.8074813,pos,7
0.7979649,-2.8221595,0.014791348,0.042676687,-0.104789495,0.1259371,-0.9056013,0.48989528,-9.449267,-1.9119518,0.13079017,-3.9131644,-1.0872012,-0.029594783,1.1107323,-1.6012981,neg,7
1.6030003,0.20273134,-1.2745496,1.1158577,-0.5205653,0.18988785,-0.1531515,6.5476956,-6.4953794,-0.6789858,2.4131336,2.3738692,-1.3681715,-0.13652273,0.49342477,0.17889325,pos,8
-1.9934524,0.11229312,-0.83403563,-1.8224936,-0.68630224,-0.119752385,-0.7232012,-3.019094,-6.0210505,-0.45610812,1.8883781,0.33294585,0.21831429,0.009975351,0.35583952,0.6744439,neg,8
4.434937,1.5093302,0.5643569,-0.43083104,0.9700364,0.19481382,-0.68325,0.40076876,-6.9115176,1.1499453,0.7752098,0.47860646,0.46796662,0.2860179,2.5412138,-0.12841818,pos,9
-0.23694816,-0.7513508,0.14425546,-0.14349608,2.5256548,-0.33777773,2.0143678,0.45195392,-7.350281,-1.086006,-0.16280094,0.23678145,1.2963461,0.09428968,1.2808663,-0.0990449,neg,9
5.00692,-1.1207343,0.0842564,-0.07678915,0.224864,0.87982255,-0.10916034,-0.24712473,-10.4077635,1.2586071,4.0211816,8.529685,6.421421,-0.062447418,0.42402846,-1.5745487,pos,10
0.06529707,-2.1433878,-1.6682773,0.20052221,0.3947464,1.3567803,-0.22609876,-0.237738,-8.726905,-0.10056686,1.389154,-16.26624,4.3726697,-0.17117596,-0.4253763,-1.5766029,neg,10
3.221849,0.043483026,-0.456604,0.55741125,-0.018142855,1.0168476,4.977591,-0.8100501,-15.443689,0.5358607,1.4524455,1.3264619,1.3789854,2.5303702,0.9925199,4.6566567,pos,11
1.1687336,1.2645746,0.36512148,1.97797,-0.21174258,-1.3093379,7.5406594,0.21007107,-12.343533,-0.58362824,-2.2487104,0.22292264,-1.9080304,1.8498918,2.9561303,-9.176566,neg,11
1.7552052,0.5194804,-0.01849245,0.018912978,0.0315762,0.1486261,2.860094,-0.7640732,-11.118662,0.065711774,2.8616197,3.3490589,0.40767482,2.0146453,1.9671365,-0.2770908,pos,12
0.58369243,-0.63543457,0.13760006,-0.84701854,0.059545975,-0.27938107,-0.53426677,-1.0978212,-9.045904,-0.05628145,-2.1622834,-0.15058601,0.31974426,-0.06636216,0.4185379,-1.126966,neg,12
